time,entity,id,type,x,y,z,vx,vy,vz,alive
0.39999999999999997,target,2,cruise,38832.17071611477,-5994.850585211188,500.0,-246.86570096512517,38.110745925547896,0.0,True
0.39999999999999997,target,3,evasive,2545.1123284501173,-36303.082264469784,2500.0,-20.9553505916449,298.90382750711683,0.0,True
0.39999999999999997,target,4,cruise,10111.864044099026,-43858.13731037568,500.0,-56.118970162684846,243.404528421071,0.0,True
0.39999999999999997,interceptor,1,interceptor,31.755180005881037,-461.4328584574791,96.22747941388594,70.25797061981247,-1020.92256330969,205.62360390184782,True
0.39999999999999997,interceptor,2,interceptor,387.83866098389825,261.8311515196806,65.56750554384435,857.871993094514,579.1530446002172,137.70762552440226,True
0.39999999999999997,interceptor,3,interceptor,461.97200612675005,-71.12535033255982,69.01443164492622,1021.8269401129913,-157.32066328473658,145.3180169449059,True
0.39999999999999997,interceptor,4,interceptor,104.37873086295636,-453.94540007611556,78.84104047992439,230.87438296574504,-1004.0784547105952,167.0549251775207,True
0.6,target,1,cruise,29360.330508655934,19732.183632849345,500.0,-207.27371471516082,-139.30234878713603,0.0,True
0.6,target,2,cruise,38782.80329599766,-5987.229319082572,500.0,-246.81116246176646,38.102326355569005,0.0,True
0.6,target,3,evasive,2540.9219569659967,-36243.311464176906,2500.0,-20.948689890056105,298.8088203064467,0.0,True
0.6,target,4,cruise,10100.641550387954,-43809.46204456925,500.0,-56.106572147769285,243.35075457302764,0.0,True
0.6,interceptor,1,interceptor,45.802253707291946,-665.2195839859594,136.64896821228632,70.44048025738049,-1016.9295644325135,198.6421413169182,True
0.6,interceptor,2,interceptor,559.0689370682697,377.41265832203663,92.40562471129057,854.5119958182478,576.5479544007417,130.55623814379692,True
0.6,interceptor,3,interceptor,665.9170215049277,-102.51990920457665,97.41251490294809,1017.6343293329234,-156.57850331621492,138.98141831512837,True
0.6,interceptor,4,interceptor,150.4591194744892,-654.347708689245,111.54570234848099,229.9359801932839,-999.947149517975,160.00697864617726,True
0.8000000000000002,target,1,cruise,29318.879278863085,19704.325524173124,500.0,-207.24021831378107,-139.2798368762817,0.0,True
0.8000000000000002,target,2,cruise,38733.44524678866,-5979.609499620286,500.0,-246.7712766239786,38.0961688414874,0.0,True
0.8000000000000002,target,3,evasive,2536.7327296893195,-36183.55698467918,2500.0,-20.943820919477005,298.7393700753114,0.0,True
0.8000000000000002,target,4,cruise,10089.421186927095,-43760.79601828641,500.0,-56.097505063391104,243.3114279533333,0.0,True
0.8000000000000002,interceptor,1,interceptor,59.95326962025984,-868.2043396593158,175.69984442891436,71.06867533484693,-1012.9220809756332,191.8973829516246,True
0.8000000000000002,interceptor,2,interceptor,729.6525126680308,492.44027493061265,117.78962036098119,851.3275093399943,573.7317122421761,123.3149788128186,True
0.8000000000000002,interceptor,3,interceptor,869.0285406979215,-133.75255977691717,124.64752465727744,1013.4866571648146,-155.7491553800366,133.39496720248263,True
0.8000000000000002,interceptor,4,interceptor,196.35412271634212,-853.9261410406093,142.85458291429902,229.0152620631174,-995.8426063998232,153.10809551084736,True
1.0000000000000002,target,1,cruise,29277.433804485336,19676.47128353604,500.0,-207.21572126714491,-139.26337315757306,0.0,True
1.0000000000000002,target,2,cruise,38684.09405083983,-5971.990738153728,500.0,-246.74210676727265,38.09166564402716,0.0,True
1.0000000000000002,target,3,evasive,2532.544338828039,-36123.814435679225,2500.0,-20.940261702392775,298.6886019621866,0.0,True
1.0000000000000002,target,4,cruise,10078.202381389841,-43712.13674917782,500.0,-56.090873999165765,243.28266707165608,0.0,True
1.0000000000000002,interceptor,1,interceptor,74.23006517167855,-1070.3899053669309,213.42083640008033,71.70180053874101,-1008.9373780577475,185.34145955412228,True
1.0000000000000002,interceptor,2,interceptor,899.6015703277899,606.9062594505809,141.74378785079992,848.1676415111374,570.9294968922954,116.25175930316472,True
1.0000000000000002,interceptor,3,interceptor,1071.3140266393118,-164.81989067489712,150.78200941314822,1009.3741674327563,-154.9246479717485,127.97668573827634,True
1.0000000000000002,interceptor,4,interceptor,242.06569927122692,-1052.6868262553598,172.79955977670951,228.10171082410736,-991.7693808707427,146.36464426335968,True
1.2000000000000004,target,1,cruise,29235.992539236784,19648.619871726452,500.0,-207.19780574953157,-139.25133268400552,0.0,True
