[2026-03-20 16:38:24] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:38:34] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:53:56] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:56:51] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:57:16] INFO     quant.cache — 캐시 전체 삭제: 0개 파일
[2026-03-20 16:57:26] WARNING  quant.data — 현대로템: yfinance 데이터 없음
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 디바이스: cuda
[2026-03-20 16:57:46] INFO     quant.trainer — GPU: NVIDIA GeForce GTX 1660 SUPER
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 시작: 005930.KS — 99개 ROI 샘플
[2026-03-20 16:58:11] INFO     quant.trainer — Epoch   9/100 | Train: -1.189137 | Val: -1.624737 | 경과: 5s
[2026-03-20 16:58:11] INFO     quant.trainer — Epoch  10/100 | Train: -1.220557 | Val: -1.645065 | 경과: 5s
[2026-03-20 16:58:12] INFO     quant.trainer — Epoch  11/100 | Train: -1.259896 | Val: -1.628931 | 경과: 6s
[2026-03-20 16:58:12] INFO     quant.trainer — Epoch  12/100 | Train: -1.226245 | Val: -1.316397 | 경과: 6s
[2026-03-20 16:58:12] INFO     quant.trainer — Epoch  13/100 | Train: -1.355819 | Val: -1.508298 | 경과: 6s
[2026-03-20 16:58:12] INFO     quant.trainer — Epoch  14/100 | Train: -1.314629 | Val: -1.798305 | 경과: 6s
[2026-03-20 16:58:13] INFO     quant.trainer — Epoch  15/100 | Train: -1.433721 | Val: -1.777624 | 경과: 7s
[2026-03-20 16:58:13] INFO     quant.trainer — Epoch  16/100 | Train: -1.402933 | Val: -1.262619 | 경과: 7s
[2026-03-20 16:58:13] INFO     quant.trainer — Epoch  17/100 | Train: -1.419219 | Val: -1.558910 | 경과: 7s
[2026-03-20 16:58:13] INFO     quant.trainer — Epoch  18/100 | Train: -1.530465 | Val: -1.922730 | 경과: 7s
[2026-03-20 16:58:13] INFO     quant.trainer — Epoch  19/100 | Train: -1.532409 | Val: -1.973909 | 경과: 8s
[2026-03-20 16:58:14] INFO     quant.trainer — Epoch  20/100 | Train: -1.583098 | Val: -1.668147 | 경과: 8s
[2026-03-20 16:58:14] INFO     quant.trainer — Epoch  21/100 | Train: -1.617101 | Val: -1.553646 | 경과: 8s
[2026-03-20 16:58:14] INFO     quant.trainer — Epoch  22/100 | Train: -1.580293 | Val: -1.895765 | 경과: 8s
[2026-03-20 16:58:14] INFO     quant.trainer — Epoch  23/100 | Train: -1.676241 | Val: -2.058611 | 경과: 8s
[2026-03-20 16:58:15] INFO     quant.trainer — Epoch  24/100 | Train: -1.670227 | Val: -2.069275 | 경과: 9s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  25/100 | Train: -1.675102 | Val: -1.984548 | 경과: 10s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  26/100 | Train: -1.635902 | Val: -1.870688 | 경과: 10s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  27/100 | Train: -1.637577 | Val: -1.905926 | 경과: 10s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  28/100 | Train: -1.489834 | Val: -2.058388 | 경과: 10s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  29/100 | Train: -1.772423 | Val: -2.042496 | 경과: 10s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  30/100 | Train: -1.727528 | Val: -1.928625 | 경과: 10s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  31/100 | Train: -1.529020 | Val: -2.018837 | 경과: 10s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  32/100 | Train: -1.719087 | Val: -2.047209 | 경과: 11s
[2026-03-20 16:58:16] INFO     quant.trainer — Epoch  33/100 | Train: -1.801028 | Val: -2.084932 | 경과: 11s
[2026-03-20 16:58:17] INFO     quant.trainer — Epoch  34/100 | Train: -1.641246 | Val: -2.134460 | 경과: 11s
[2026-03-20 16:58:17] INFO     quant.trainer — Epoch  35/100 | Train: -1.775762 | Val: -2.158011 | 경과: 11s
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  36/100 | Train: -1.697851 | Val: -2.056231 | 경과: 12s
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  37/100 | Train: -1.823309 | Val: -1.884046 | 경과: 12s
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  38/100 | Train: -1.860485 | Val: -1.705256 | 경과: 12s
